2026-06-28 09:10:10 | === run 'gptbert_small_v1' | device=mps | config=small (33.0M params) ===
2026-06-28 09:10:10 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-28 09:10:10 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-28 09:10:10 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/train.log
2026-06-28 10:43:52 | [1:33:41] [###---------------------]  12.8% | step   1260/9860 | ep 1 | masked | loss  3.850 | lr 4.85e-04 |  12.65M words |  3673 tok/s | ETA 10:39:31
2026-06-28 10:45:22 | [1:35:11] [###---------------------]  13.0% | step   1280/9860 | ep 1 | masked | loss  3.565 | lr 4.85e-04 |  12.85M words |  3673 tok/s | ETA 10:38:03
2026-06-28 10:46:51 | [1:36:40] [###---------------------]  13.2% | step   1300/9860 | ep 1 | masked | loss  3.582 | lr 4.84e-04 |  13.05M words |  3673 tok/s | ETA 10:36:31
2026-06-28 10:48:20 | [1:38:09] [###---------------------]  13.4% | step   1320/9860 | ep 1 | masked | loss  3.353 | lr 4.84e-04 |  13.25M words |  3673 tok/s | ETA 10:35:06
2026-06-28 10:49:49 | [1:39:38] [###---------------------]  13.6% | step   1340/9860 | ep 1 | masked | loss  3.481 | lr 4.83e-04 |  13.45M words |  3673 tok/s | ETA 10:33:33
2026-06-28 10:51:18 | [1:41:07] [###---------------------]  13.8% | step   1360/9860 | ep 1 | masked | loss  3.224 | lr 4.82e-04 |  13.65M words |  3673 tok/s | ETA 10:32:03
2026-06-28 10:52:47 | [1:42:36] [###---------------------]  14.0% | step   1380/9860 | ep 1 | masked | loss  3.216 | lr 4.82e-04 |  13.85M words |  3673 tok/s | ETA 10:30:33
2026-06-28 10:54:16 | [1:44:05] [###---------------------]  14.2% | step   1400/9860 | ep 1 | masked | loss  3.277 | lr 4.81e-04 |  14.05M words |  3673 tok/s | ETA 10:29:02
2026-06-28 10:55:46 | [1:45:35] [###---------------------]  14.4% | step   1420/9860 | ep 1 | masked | loss  3.656 | lr 4.80e-04 |  14.25M words |  3673 tok/s | ETA 10:27:33
2026-06-28 10:57:15 | [1:47:04] [###---------------------]  14.6% | step   1440/9860 | ep 1 | masked | loss  3.387 | lr 4.80e-04 |  14.45M words |  3673 tok/s | ETA 10:26:07
2026-06-28 10:58:45 | [1:48:34] [###---------------------]  14.8% | step   1460/9860 | ep 1 | causal | loss  4.166 | lr 4.79e-04 |  14.65M words |  3673 tok/s | ETA 10:24:38
2026-06-28 11:00:14 | [1:50:03] [###---------------------]  15.0% | step   1480/9860 | ep 1 | masked | loss  3.142 | lr 4.79e-04 |  14.86M words |  3673 tok/s | ETA 10:23:08
2026-06-28 11:01:43 | [1:51:32] [###---------------------]  15.2% | step   1500/9860 | ep 1 | masked | loss  3.468 | lr 4.78e-04 |  15.06M words |  3673 tok/s | ETA 10:21:38
2026-06-28 11:03:12 | [1:53:01] [###---------------------]  15.4% | step   1520/9860 | ep 1 | masked | loss  3.590 | lr 4.77e-04 |  15.26M words |  3673 tok/s | ETA 10:20:09
2026-06-28 11:04:41 | [1:54:30] [###---------------------]  15.6% | step   1540/9860 | ep 1 | masked | loss  3.113 | lr 4.77e-04 |  15.46M words |  3673 tok/s | ETA 10:18:39
