2026-07-05 21:43:56 | === MP-DPO 'gptbert_small_dpo_s43' | device=mps ===
2026-07-05 21:43:56 | init=/Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/chck_70M
2026-07-05 21:43:56 | ref =/Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_v1/chck_70M (frozen)
2026-07-05 21:43:56 | steps=1500 pairs/step=16 beta=0.1 lr=1e-05 mle_mix=0.5@1.0 | ckpt every 250
2026-07-05 21:56:41 | [0:12:44] step   880/1500 | dpo 0.5176 | pref-acc 0.781 | mle  2.038 | margin +4.67 | lr 3.99e-06 | 0.782M words | ETA 0:08:58
2026-07-05 21:56:49 | [0:12:52] step   890/1500 | dpo 0.5208 | pref-acc 0.794 | mle  2.066 | margin +4.40 | lr 3.88e-06 | 0.790M words | ETA 0:08:49
2026-07-05 21:56:58 | [0:13:01] step   900/1500 | dpo 0.5697 | pref-acc 0.794 | mle    nan | margin +3.26 | lr 3.77e-06 | 0.800M words | ETA 0:08:41
2026-07-05 21:57:07 | [0:13:10] step   910/1500 | dpo 0.5466 | pref-acc 0.775 | mle  2.287 | margin +4.14 | lr 3.67e-06 | 0.809M words | ETA 0:08:32
2026-07-05 21:57:16 | [0:13:18] step   920/1500 | dpo 0.5513 | pref-acc 0.838 | mle  2.625 | margin +3.75 | lr 3.56e-06 | 0.818M words | ETA 0:08:23
2026-07-05 21:57:24 | [0:13:27] step   930/1500 | dpo 0.5729 | pref-acc 0.838 | mle  2.355 | margin +3.14 | lr 3.45e-06 | 0.827M words | ETA 0:08:14
2026-07-05 21:57:35 | [0:13:38] step   940/1500 | dpo 0.5507 | pref-acc 0.800 | mle  2.030 | margin +3.77 | lr 3.35e-06 | 0.840M words | ETA 0:08:07
2026-07-05 21:57:45 | [0:13:48] step   950/1500 | dpo 0.5427 | pref-acc 0.775 | mle  2.313 | margin +4.52 | lr 3.25e-06 | 0.851M words | ETA 0:07:59
2026-07-05 21:57:54 | [0:13:57] step   960/1500 | dpo 0.5228 | pref-acc 0.775 | mle    nan | margin +4.69 | lr 3.14e-06 | 0.860M words | ETA 0:07:50
2026-07-05 21:58:02 | [0:14:05] step   970/1500 | dpo 0.5281 | pref-acc 0.769 | mle    nan | margin +4.56 | lr 3.04e-06 | 0.868M words | ETA 0:07:41
2026-07-05 21:58:09 | [0:14:12] step   980/1500 | dpo 0.5355 | pref-acc 0.831 | mle    nan | margin +4.10 | lr 2.94e-06 | 0.874M words | ETA 0:07:32
