2026-06-30 01:12:01 | === run 'gptbert_small_contrastive_v1' | device=mps | config=small (33.0M params) ===
2026-06-30 01:12:01 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-06-30 01:12:01 | blocks/epoch=126,267 | steps/epoch=986 | max_steps=9,860 | ~163M tokens over 10 epochs
2026-06-30 01:12:01 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_contrastive_v1/train.log
2026-06-30 01:12:01 | CONTRASTIVE ON | 834,593 sentences | cw=0.5 n_neg=2 c_bs=16 temp=1.0 norm=False | 120 function-word ids
2026-06-30 02:36:05 | [1:24:03] [##----------------------]  10.3% | step   1020/9860 | ep 1 | masked | loss  4.552 | closs  0.458 | lr 4.91e-04 |  10.24M words |  3314 tok/s | ETA 12:08:31
2026-06-30 02:37:43 | [1:25:42] [##----------------------]  10.5% | step   1040/9860 | ep 1 | masked | loss  4.663 | closs  0.258 | lr 4.91e-04 |  10.44M words |  3315 tok/s | ETA 12:06:48
2026-06-30 02:39:22 | [1:27:20] [##----------------------]  10.8% | step   1060/9860 | ep 1 | causal | loss  5.212 | closs  0.153 | lr 4.90e-04 |  10.64M words |  3315 tok/s | ETA 12:05:06
2026-06-30 02:41:00 | [1:28:59] [##----------------------]  11.0% | step   1080/9860 | ep 1 | causal | loss  5.034 | closs  0.315 | lr 4.90e-04 |  10.84M words |  3315 tok/s | ETA 12:03:26
2026-06-30 02:42:39 | [1:30:38] [##----------------------]  11.2% | step   1100/9860 | ep 1 | causal | loss  4.855 | closs  0.440 | lr 4.89e-04 |  11.04M words |  3315 tok/s | ETA 12:01:46
2026-06-30 02:44:18 | [1:32:16] [##----------------------]  11.4% | step   1120/9860 | ep 1 | masked | loss  4.504 | closs  0.462 | lr 4.89e-04 |  11.24M words |  3315 tok/s | ETA 12:00:03
2026-06-30 02:45:56 | [1:33:54] [##----------------------]  11.6% | step   1140/9860 | ep 1 | masked | loss  3.890 | closs  0.128 | lr 4.88e-04 |  11.44M words |  3315 tok/s | ETA 11:58:20
2026-06-30 02:47:34 | [1:35:33] [##----------------------]  11.8% | step   1160/9860 | ep 1 | masked | loss  4.166 | closs  0.124 | lr 4.88e-04 |  11.64M words |  3316 tok/s | ETA 11:56:40
2026-06-30 02:49:13 | [1:37:12] [##----------------------]  12.0% | step   1180/9860 | ep 1 | masked | loss  4.322 | closs  0.651 | lr 4.87e-04 |  11.84M words |  3315 tok/s | ETA 11:55:02
2026-06-30 02:50:52 | [1:38:50] [##----------------------]  12.2% | step   1200/9860 | ep 1 | masked | loss  3.879 | closs  0.200 | lr 4.87e-04 |  12.05M words |  3316 tok/s | ETA 11:53:20
2026-06-30 02:52:30 | [1:40:28] [##----------------------]  12.4% | step   1220/9860 | ep 1 | masked | loss  4.038 | closs  0.364 | lr 4.86e-04 |  12.25M words |  3316 tok/s | ETA 11:51:34
2026-06-30 02:54:08 | [1:42:06] [###---------------------]  12.6% | step   1240/9860 | ep 1 | masked | loss  4.393 | closs  0.374 | lr 4.86e-04 |  12.45M words |  3317 tok/s | ETA 11:49:51
2026-06-30 02:55:47 | [1:43:45] [###---------------------]  12.8% | step   1260/9860 | ep 1 | masked | loss  4.691 | closs  0.212 | lr 4.85e-04 |  12.65M words |  3316 tok/s | ETA 11:48:14
2026-06-30 02:57:26 | [1:45:24] [###---------------------]  13.0% | step   1280/9860 | ep 1 | masked | loss  4.423 | closs  0.382 | lr 4.85e-04 |  12.85M words |  3316 tok/s | ETA 11:46:34
2026-06-30 02:59:05 | [1:47:03] [###---------------------]  13.2% | step   1300/9860 | ep 1 | masked | loss  4.360 | closs  0.579 | lr 4.84e-04 |  13.05M words |  3316 tok/s | ETA 11:44:56
2026-06-30 03:00:43 | [1:48:42] [###---------------------]  13.4% | step   1320/9860 | ep 1 | masked | loss  4.262 | closs  0.551 | lr 4.84e-04 |  13.25M words |  3317 tok/s | ETA 11:43:16
2026-06-30 03:02:22 | [1:50:20] [###---------------------]  13.6% | step   1340/9860 | ep 1 | masked | loss  4.313 | closs  0.317 | lr 4.83e-04 |  13.45M words |  3317 tok/s | ETA 11:41:35
2026-06-30 03:04:00 | [1:51:59] [###---------------------]  13.8% | step   1360/9860 | ep 1 | masked | loss  4.052 | closs  0.140 | lr 4.82e-04 |  13.65M words |  3317 tok/s | ETA 11:39:54
2026-06-30 03:05:39 | [1:53:37] [###---------------------]  14.0% | step   1380/9860 | ep 1 | masked | loss  4.081 | closs  0.311 | lr 4.82e-04 |  13.85M words |  3317 tok/s | ETA 11:38:14
2026-06-30 03:07:17 | [1:55:15] [###---------------------]  14.2% | step   1400/9860 | ep 1 | masked | loss  4.016 | closs  0.196 | lr 4.81e-04 |  14.05M words |  3317 tok/s | ETA 11:36:31
2026-06-30 03:08:55 | [1:56:54] [###---------------------]  14.4% | step   1420/9860 | ep 1 | masked | loss  4.421 | closs  0.154 | lr 4.80e-04 |  14.25M words |  3317 tok/s | ETA 11:34:50
2026-06-30 03:10:34 | [1:58:32] [###---------------------]  14.6% | step   1440/9860 | ep 1 | masked | loss  4.149 | closs  0.246 | lr 4.80e-04 |  14.45M words |  3317 tok/s | ETA 11:33:11
2026-06-30 03:12:13 | [2:00:11] [###---------------------]  14.8% | step   1460/9860 | ep 1 | causal | loss  4.744 | closs  0.616 | lr 4.79e-04 |  14.65M words |  3318 tok/s | ETA 11:31:31
2026-06-30 03:13:51 | [2:01:50] [###---------------------]  15.0% | step   1480/9860 | ep 1 | masked | loss  3.897 | closs  0.227 | lr 4.79e-04 |  14.86M words |  3318 tok/s | ETA 11:29:50
2026-06-30 03:15:30 | [2:03:28] [###---------------------]  15.2% | step   1500/9860 | ep 1 | masked | loss  4.262 | closs  0.242 | lr 4.78e-04 |  15.06M words |  3318 tok/s | ETA 11:28:11
2026-06-30 03:17:08 | [2:05:07] [###---------------------]  15.4% | step   1520/9860 | ep 1 | masked | loss  4.433 | closs  0.063 | lr 4.77e-04 |  15.26M words |  3318 tok/s | ETA 11:26:30
2026-06-30 03:18:47 | [2:06:46] [###---------------------]  15.6% | step   1540/9860 | ep 1 | masked | loss  3.847 | closs  0.238 | lr 4.77e-04 |  15.46M words |  3318 tok/s | ETA 11:24:53
2026-06-30 03:20:26 | [2:08:24] [###---------------------]  15.8% | step   1560/9860 | ep 1 | masked | loss  3.741 | closs  0.174 | lr 4.76e-04 |  15.66M words |  3318 tok/s | ETA 11:23:12
2026-06-30 03:22:04 | [2:10:03] [###---------------------]  16.0% | step   1580/9860 | ep 1 | causal | loss  4.216 | closs  0.354 | lr 4.75e-04 |  15.86M words |  3318 tok/s | ETA 11:21:32
2026-06-30 03:23:43 | [2:11:41] [###---------------------]  16.2% | step   1600/9860 | ep 1 | masked | loss  4.058 | closs  0.293 | lr 4.74e-04 |  16.06M words |  3318 tok/s | ETA 11:19:53
2026-06-30 03:25:21 | [2:13:20] [###---------------------]  16.4% | step   1620/9860 | ep 1 | masked | loss  3.799 | closs  0.262 | lr 4.74e-04 |  16.26M words |  3318 tok/s | ETA 11:18:11
2026-06-30 03:27:00 | [2:14:58] [###---------------------]  16.6% | step   1640/9860 | ep 1 | masked | loss  3.840 | closs  0.349 | lr 4.73e-04 |  16.46M words |  3318 tok/s | ETA 11:16:31
2026-06-30 03:28:38 | [2:16:36] [####--------------------]  16.8% | step   1660/9860 | ep 1 | masked | loss  4.346 | closs  0.429 | lr 4.72e-04 |  16.66M words |  3319 tok/s | ETA 11:14:50
2026-06-30 03:30:16 | [2:18:15] [####--------------------]  17.0% | step   1680/9860 | ep 1 | masked | loss  3.686 | closs  0.327 | lr 4.72e-04 |  16.86M words |  3319 tok/s | ETA 11:13:09
2026-06-30 03:31:54 | [2:19:53] [####--------------------]  17.2% | step   1700/9860 | ep 1 | masked | loss  3.621 | closs  0.170 | lr 4.71e-04 |  17.06M words |  3319 tok/s | ETA 11:11:27
2026-06-30 03:33:32 | [2:21:31] [####--------------------]  17.4% | step   1720/9860 | ep 1 | masked | loss  3.616 | closs  0.215 | lr 4.70e-04 |  17.26M words |  3319 tok/s | ETA 11:09:46
2026-06-30 03:35:11 | [2:23:09] [####--------------------]  17.6% | step   1740/9860 | ep 1 | masked | loss  4.277 | closs  0.181 | lr 4.69e-04 |  17.46M words |  3319 tok/s | ETA 11:08:04
2026-06-30 03:36:50 | [2:24:48] [####--------------------]  17.8% | step   1760/9860 | ep 1 | masked | loss  4.313 | closs  0.322 | lr 4.68e-04 |  17.67M words |  3319 tok/s | ETA 11:06:26
2026-06-30 03:38:28 | [2:26:27] [####--------------------]  18.1% | step   1780/9860 | ep 1 | masked | loss  3.745 | closs  0.077 | lr 4.68e-04 |  17.87M words |  3319 tok/s | ETA 11:04:47
2026-06-30 03:40:06 | [2:28:05] [####--------------------]  18.3% | step   1800/9860 | ep 1 | masked | loss  3.916 | closs  0.526 | lr 4.67e-04 |  18.07M words |  3320 tok/s | ETA 11:03:06
2026-06-30 03:41:44 | [2:29:43] [####--------------------]  18.5% | step   1820/9860 | ep 1 | masked | loss  4.166 | closs  0.152 | lr 4.66e-04 |  18.27M words |  3320 tok/s | ETA 11:01:23
2026-06-30 03:43:22 | [2:31:21] [####--------------------]  18.7% | step   1840/9860 | ep 1 | masked | loss  3.618 | closs  0.158 | lr 4.65e-04 |  18.47M words |  3320 tok/s | ETA 10:59:41
2026-06-30 03:45:01 | [2:32:59] [####--------------------]  18.9% | step   1860/9860 | ep 1 | masked | loss  3.229 | closs  0.472 | lr 4.64e-04 |  18.67M words |  3320 tok/s | ETA 10:58:02
2026-06-30 03:46:39 | [2:34:38] [####--------------------]  19.1% | step   1880/9860 | ep 1 | masked | loss  3.950 | closs  0.294 | lr 4.64e-04 |  18.87M words |  3320 tok/s | ETA 10:56:22
2026-06-30 03:48:18 | [2:36:16] [####--------------------]  19.3% | step   1900/9860 | ep 1 | causal | loss  4.409 | closs  0.238 | lr 4.63e-04 |  19.07M words |  3320 tok/s | ETA 10:54:43
2026-06-30 03:49:56 | [2:37:55] [####--------------------]  19.5% | step   1920/9860 | ep 1 | masked | loss  3.831 | closs  0.460 | lr 4.62e-04 |  19.27M words |  3320 tok/s | ETA 10:53:03
2026-06-30 03:51:34 | [2:39:33] [####--------------------]  19.7% | step   1940/9860 | ep 1 | masked | loss  4.049 | closs  0.052 | lr 4.61e-04 |  19.47M words |  3321 tok/s | ETA 10:51:22
2026-06-30 03:53:13 | [2:41:11] [####--------------------]  19.9% | step   1960/9860 | ep 1 | masked | loss  3.461 | closs  0.138 | lr 4.60e-04 |  19.67M words |  3321 tok/s | ETA 10:49:42
