2026-07-03 09:41:07 | === run 'gptbert_small_uni8k_v1' | device=mps | config=small (29.9M params) ===
2026-07-03 09:41:07 | seq_len=128 batch=32 grad_accum=4 (eff batch 128) | lr=0.0005 | epochs=10
2026-07-03 09:41:07 | blocks/epoch=113,635 | steps/epoch=887 | max_steps=8,870 | ~147M tokens over 10 epochs
2026-07-03 09:41:07 | live log: /Users/admin1/Downloads/babylm-eval/checkpoints/gptbert_small_uni8k_v1/train.log
2026-07-03 09:41:07 | optimizer: AdamW (lr=0.0005)
2026-07-03 12:08:47 | [2:27:39] [#####-------------------]  23.4% | step   2080/8870 | ep 2 | masked | loss  3.345 | lr 4.43e-04 |  23.21M words |  3849 tok/s | ETA 8:02:01
2026-07-03 12:10:18 | [2:29:11] [#####-------------------]  23.7% | step   2100/8870 | ep 2 | masked | loss  3.377 | lr 4.42e-04 |  23.43M words |  3847 tok/s | ETA 8:00:57
2026-07-03 12:11:49 | [2:30:42] [#####-------------------]  23.9% | step   2120/8870 | ep 2 | masked | loss  3.432 | lr 4.41e-04 |  23.66M words |  3844 tok/s | ETA 7:59:49
2026-07-03 12:13:16 | [2:32:09] [#####-------------------]  24.1% | step   2140/8870 | ep 2 | masked | loss  3.317 | lr 4.40e-04 |  23.88M words |  3843 tok/s | ETA 7:58:30
2026-07-03 12:14:46 | [2:33:39] [#####-------------------]  24.4% | step   2160/8870 | ep 2 | masked | loss  3.149 | lr 4.39e-04 |  24.10M words |  3841 tok/s | ETA 7:57:19
2026-07-03 12:16:26 | [2:35:18] [#####-------------------]  24.6% | step   2180/8870 | ep 2 | masked | loss  3.607 | lr 4.37e-04 |  24.33M words |  3835 tok/s | ETA 7:56:37
2026-07-03 12:18:02 | [2:36:55] [#####-------------------]  24.8% | step   2200/8870 | ep 2 | masked | loss  3.301 | lr 4.36e-04 |  24.55M words |  3831 tok/s | ETA 7:55:44
2026-07-03 12:19:39 | [2:38:31] [######------------------]  25.0% | step   2220/8870 | ep 2 | masked | loss  3.374 | lr 4.35e-04 |  24.77M words |  3826 tok/s | ETA 7:54:53
2026-07-03 12:21:07 | [2:40:00] [######------------------]  25.3% | step   2240/8870 | ep 2 | masked | loss  3.132 | lr 4.34e-04 |  25.00M words |  3825 tok/s | ETA 7:53:35
2026-07-03 12:22:55 | [2:41:47] [######------------------]  25.5% | step   2260/8870 | ep 2 | masked | loss  3.453 | lr 4.32e-04 |  25.22M words |  3817 tok/s | ETA 7:53:12
2026-07-03 12:24:41 | [2:43:33] [######------------------]  25.7% | step   2280/8870 | ep 2 | masked | loss  3.188 | lr 4.31e-04 |  25.44M words |  3809 tok/s | ETA 7:52:45
2026-07-03 12:26:12 | [2:45:05] [######------------------]  25.9% | step   2300/8870 | ep 2 | masked | loss  3.453 | lr 4.30e-04 |  25.66M words |  3807 tok/s | ETA 7:51:34
